Frame,Lane 1,Lane 2,Lane 3
0,3,2,0
1,4,1,0
2,3,2,0
3,4,1,0
4,4,1,0
5,4,1,0
6,4,1,0
7,4,1,0
8,4,1,0
9,4,1,0
10,5,1,0
11,5,1,0
12,5,2,0
13,5,2,0
14,4,1,0
15,5,1,0
16,6,1,0
17,5,1,0
18,5,1,0
19,7,1,0
20,5,1,0
21,5,1,0
22,7,1,0
23,5,1,0
24,5,1,0
25,5,1,0
26,5,1,0
27,5,1,0
28,6,0,0
29,6,1,0
30,7,1,0
31,5,0,0
32,5,0,0
33,5,0,0
34,5,0,0
35,5,0,0
36,6,0,1
37,4,1,1
38,5,2,1
39,6,1,1
40,5,1,1
41,7,1,1
42,6,2,1
43,7,3,1
44,6,2,1
45,8,2,1
46,5,1,1
47,5,2,1
48,6,1,1
49,4,2,1
50,5,0,2
51,5,0,2
52,4,0,1
53,6,1,1
54,5,2,1
55,6,2,1
56,5,2,1
57,6,2,1
58,5,3,1
59,3,3,1
60,4,4,1
61,5,3,1
62,5,3,1
63,4,4,1
64,4,3,1
65,4,3,1
66,3,3,1
67,4,3,1
68,3,3,1
69,3,3,1
70,3,3,1
71,3,3,1
72,3,4,1
73,3,3,1
74,3,3,1
75,3,3,1
76,2,3,1
77,2,3,1
78,2,3,1
79,2,2,2
80,2,3,2
81,2,2,2
82,2,3,2
83,2,2,2
84,2,3,1
85,3,4,1
86,3,3,1
87,3,2,0
88,2,2,0
89,2,2,0
90,2,2,1
91,2,2,1
92,3,2,1
93,2,2,1
94,2,2,1
95,2,3,1
96,2,4,1
97,3,4,1
98,2,3,1
99,2,3,1
100,2,3,1
101,2,3,1
102,2,2,0
103,3,3,0
104,3,3,0
105,2,3,0
106,2,3,0
107,2,4,0
108,2,2,0
109,2,3,0
110,2,3,0
111,2,3,0
112,2,4,0
113,2,3,0
114,1,2,0
115,1,3,0
116,2,1,0
117,2,1,0
118,2,1,0
119,2,2,0
120,2,3,0
121,2,3,0
122,2,4,0
123,2,3,0
124,2,3,0
